2026-02-13 10:28:28,356 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90)
2026-02-13 10:28:33,949 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=-1.0071, cointegrated=True, p=0.0270
2026-02-13 10:28:33,949 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 91.176885009981}
2026-02-13 10:28:33,949 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 10:28:33,954 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.164248, alpha=0.0000, beta=0.0002
2026-02-13 10:28:33,954 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 10:28:33,992 | crypto_trader.models.ensemble | ERROR | Failed to fit sub-model 'ml_model': 
XGBoost Library (libxgboost.dylib) could not be loaded.
Likely causes:
  * OpenMP runtime is not installed
    - vcomp140.dll or libgomp-1.dll for Windows
    - libomp.dylib for Mac OSX
    - libgomp.so for Linux and other UNIX-like OSes
    Mac OSX users: Run `brew install libomp` to install OpenMP runtime.

  * You are running 32-bit Python on a 64-bit OS

Error message(s): ["dlopen(/Users/sunny/Library/Python/3.9/lib/python/site-packages/xgboost/lib/libxgboost.dylib, 0x0006): Library not loaded: @rpath/libomp.dylib\n  Referenced from: <89AD948E-E564-3266-867D-7AF89D6488F0> /Users/sunny/Library/Python/3.9/lib/python/site-packages/xgboost/lib/libxgboost.dylib\n  Reason: tried: '/opt/homebrew/opt/libomp/lib/libomp.dylib' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/libomp/lib/libomp.dylib' (no such file), '/opt/homebrew/opt/libomp/lib/libomp.dylib' (no such file), '/System/Volumes/Preboot/Cryptexes/OS/opt/homebrew/opt/libomp/lib/libomp.dylib' (no such file)"]

2026-02-13 10:29:34,679 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90)
2026-02-13 10:29:35,070 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 10:29:35,071 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 10:29:35,080 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 10:29:35,080 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90)
2026-02-13 10:29:35,224 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 10:29:35,224 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 10:29:35,232 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 10:29:35,232 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90)
2026-02-13 10:29:35,335 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 10:29:35,335 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 10:29:35,343 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for SOL/USDT
2026-02-13 10:29:35,463 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6005, cointegrated=False, p=0.1198
2026-02-13 10:29:35,463 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 189.09958335084144}
2026-02-13 10:29:35,478 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.161468, alpha=0.0265, beta=0.0000
2026-02-13 10:29:36,040 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.08761005848646164), ('volatility_10', 0.08551713824272156), ('rsi_28', 0.08479961007833481), ('price_rel_ma_20', 0.08141984790563583), ('volatility_50', 0.07502426952123642)]
2026-02-13 10:29:36,040 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 10:29:36,077 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 10:29:36,123 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6005, cointegrated=False, p=0.1198
2026-02-13 10:29:36,123 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 189.09958335084144}
2026-02-13 10:29:36,124 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 10:29:36,129 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.161468, alpha=0.0265, beta=0.0000
2026-02-13 10:29:36,129 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 10:29:36,366 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.08761005848646164), ('volatility_10', 0.08551713824272156), ('rsi_28', 0.08479961007833481), ('price_rel_ma_20', 0.08141984790563583), ('volatility_50', 0.07502426952123642)]
2026-02-13 10:29:36,366 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 10:29:36,366 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 15:58:10,123 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90)
2026-02-13 15:58:10,666 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 15:58:10,666 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 15:58:10,701 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 15:58:10,701 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90)
2026-02-13 15:58:10,803 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 15:58:10,803 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 15:58:10,809 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 15:58:10,809 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90)
2026-02-13 15:58:10,957 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 15:58:10,957 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 15:58:10,963 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for SOL/USDT
2026-02-13 15:58:11,088 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.0444, cointegrated=False, p=0.6272
2026-02-13 15:58:11,088 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 352.4220132692458}
2026-02-13 15:58:11,109 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.016322, alpha=0.0000, beta=0.9010
2026-02-13 15:58:11,486 | crypto_trader.models.ml_model | INFO | Top 5 features: [('volatility_50', 0.08858055621385574), ('price_rel_ma_50', 0.0871482640504837), ('return_20', 0.08199850469827652), ('volatility_20', 0.08071981370449066), ('rsi_28', 0.07720988988876343)]
2026-02-13 15:58:11,486 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 15:58:11,524 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 15:58:11,570 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.0444, cointegrated=False, p=0.6272
2026-02-13 15:58:11,570 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 352.4220132692458}
2026-02-13 15:58:11,570 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 15:58:11,578 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.016322, alpha=0.0000, beta=0.9010
2026-02-13 15:58:11,578 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 15:58:11,863 | crypto_trader.models.ml_model | INFO | Top 5 features: [('volatility_50', 0.08858055621385574), ('price_rel_ma_50', 0.0871482640504837), ('return_20', 0.08199850469827652), ('volatility_20', 0.08071981370449066), ('rsi_28', 0.07720988988876343)]
2026-02-13 15:58:11,863 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 15:58:11,863 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:04:45,731 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:04:45,871 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:04:45,872 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:04:45,876 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:04:45,876 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:04:45,877 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:04:45,878 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:04:45,881 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:04:45,881 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:04:45,882 | crypto_trader.data.fetcher | WARNING | No data fetched for SOL/USDT, generating synthetic
2026-02-13 17:04:45,883 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:04:45,990 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6419, cointegrated=False, p=0.3372
2026-02-13 17:04:45,990 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 255.30343403662332}
2026-02-13 17:04:46,009 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.028532, alpha=0.0000, beta=0.8287
2026-02-13 17:04:46,320 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.09955039620399475), ('rsi_28', 0.09201119840145111), ('volatility_50', 0.08202215284109116), ('price_rel_ma_20', 0.08136004954576492), ('volatility_10', 0.07324108481407166)]
2026-02-13 17:04:46,320 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:04:46,359 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:04:46,405 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6419, cointegrated=False, p=0.3372
2026-02-13 17:04:46,405 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 255.30343403662332}
2026-02-13 17:04:46,406 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:04:46,412 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.028532, alpha=0.0000, beta=0.8287
2026-02-13 17:04:46,413 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:04:46,647 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.09955039620399475), ('rsi_28', 0.09201119840145111), ('volatility_50', 0.08202215284109116), ('price_rel_ma_20', 0.08136004954576492), ('volatility_10', 0.07324108481407166)]
2026-02-13 17:04:46,648 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:04:46,648 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:05:06,886 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:05:06,983 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:05:06,983 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:05:06,987 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:05:06,988 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:05:06,989 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:05:06,989 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:05:06,993 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:05:06,993 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:05:06,994 | crypto_trader.data.fetcher | WARNING | No data fetched for SOL/USDT, generating synthetic
2026-02-13 17:05:06,995 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:05:07,074 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=-1.1176, cointegrated=False, p=0.0954
2026-02-13 17:05:07,075 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 148.7447842738015}
2026-02-13 17:05:07,088 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.062482, alpha=0.0360, beta=0.6050
2026-02-13 17:05:07,388 | crypto_trader.models.ml_model | INFO | Top 5 features: [('volatility_50', 0.09102518856525421), ('price_rel_ma_20', 0.08084622770547867), ('volatility_10', 0.079313725233078), ('volatility_20', 0.07820422947406769), ('rsi_28', 0.0750066414475441)]
2026-02-13 17:05:07,389 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:05:07,427 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:05:07,473 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=-1.1176, cointegrated=False, p=0.0954
2026-02-13 17:05:07,473 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 148.7447842738015}
2026-02-13 17:05:07,474 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:05:07,481 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.062482, alpha=0.0360, beta=0.6050
2026-02-13 17:05:07,483 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:05:07,725 | crypto_trader.models.ml_model | INFO | Top 5 features: [('volatility_50', 0.09102518856525421), ('price_rel_ma_20', 0.08084622770547867), ('volatility_10', 0.079313725233078), ('volatility_20', 0.07820422947406769), ('rsi_28', 0.0750066414475441)]
2026-02-13 17:05:07,726 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:05:07,726 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:06:29,589 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:06:29,689 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:06:29,689 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:06:29,693 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:06:29,693 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:06:29,695 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:06:29,695 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:06:29,698 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:06:29,699 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:06:29,700 | crypto_trader.data.fetcher | WARNING | No data fetched for SOL/USDT, generating synthetic
2026-02-13 17:06:29,700 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:06:29,780 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.1233, cointegrated=False, p=0.1984
2026-02-13 17:06:29,781 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 218.29087363861024}
2026-02-13 17:06:29,794 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.060638, alpha=0.0126, beta=0.6256
2026-02-13 17:06:30,094 | crypto_trader.models.ml_model | INFO | Top 5 features: [('rsi_28', 0.10517724603414536), ('volatility_50', 0.08879838138818741), ('price_rel_ma_20', 0.08336064964532852), ('price_rel_ma_50', 0.08004224300384521), ('volatility_20', 0.07972446084022522)]
2026-02-13 17:06:30,094 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:06:30,132 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:06:30,177 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.1233, cointegrated=False, p=0.1984
2026-02-13 17:06:30,178 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 218.29087363861024}
2026-02-13 17:06:30,178 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:06:30,184 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.060638, alpha=0.0126, beta=0.6256
2026-02-13 17:06:30,184 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:06:30,422 | crypto_trader.models.ml_model | INFO | Top 5 features: [('rsi_28', 0.10517724603414536), ('volatility_50', 0.08879838138818741), ('price_rel_ma_20', 0.08336064964532852), ('price_rel_ma_50', 0.08004224300384521), ('volatility_20', 0.07972446084022522)]
2026-02-13 17:06:30,423 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:06:30,423 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:06:48,260 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:06:48,359 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:06:48,360 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:06:48,364 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:06:48,364 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:06:48,365 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:06:48,366 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:06:48,369 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:06:48,369 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:06:48,371 | crypto_trader.data.fetcher | WARNING | No data fetched for SOL/USDT, generating synthetic
2026-02-13 17:06:48,371 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:06:48,451 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.1976, cointegrated=False, p=0.0526
2026-02-13 17:06:48,452 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 92.85610386126886}
2026-02-13 17:06:48,467 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.010165, alpha=0.0021, beta=0.9379
2026-02-13 17:06:48,759 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.09868179261684418), ('volatility_50', 0.09812215715646744), ('rsi_28', 0.08587954193353653), ('volatility_20', 0.08232848346233368), ('price_rel_ma_10', 0.07261333614587784)]
2026-02-13 17:06:48,759 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:06:48,797 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:06:48,843 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.1976, cointegrated=False, p=0.0526
2026-02-13 17:06:48,844 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 92.85610386126886}
2026-02-13 17:06:48,844 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:06:48,852 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.010165, alpha=0.0021, beta=0.9379
2026-02-13 17:06:48,852 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:06:49,080 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.09868179261684418), ('volatility_50', 0.09812215715646744), ('rsi_28', 0.08587954193353653), ('volatility_20', 0.08232848346233368), ('price_rel_ma_10', 0.07261333614587784)]
2026-02-13 17:06:49,081 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:06:49,081 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:07:02,507 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:02,606 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:02,606 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:07:02,610 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:07:02,611 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:02,612 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:02,612 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:07:02,616 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:07:02,616 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:02,617 | crypto_trader.data.fetcher | WARNING | No data fetched for SOL/USDT, generating synthetic
2026-02-13 17:07:02,618 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:07:02,698 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.5000, cointegrated=True, p=0.0493
